,Nom_Barri,Distribucio_P80_20
0,el Raval,3.6
1,el Raval,2.9
2,el Raval,3.4
3,el Raval,3.0
4,el Raval,3.0
5,el Raval,3.1
6,el Raval,3.1
7,el Raval,2.4
8,el Raval,3.5
9,el Raval,2.7
10,el Raval,2.8
11,el Raval,3.1
12,el Raval,3.0
13,el Raval,2.5
14,el Raval,2.8
15,el Raval,2.4
16,el Raval,2.6
17,el Raval,2.7
18,el Raval,3.1
19,el Raval,3.2
20,el Raval,3.6
21,el Barri Gòtic,3.7
22,el Barri Gòtic,3.2
23,el Barri Gòtic,3.2
24,el Barri Gòtic,3.7
25,el Barri Gòtic,3.2
26,el Barri Gòtic,3.5
27,el Barri Gòtic,3.5
28,el Barri Gòtic,3.5
29,el Barri Gòtic,3.6
30,la Barceloneta,3.2
31,la Barceloneta,2.9
32,la Barceloneta,3.1
33,la Barceloneta,2.6
34,la Barceloneta,2.9
35,la Barceloneta,2.8
36,la Barceloneta,3.1
37,la Barceloneta,2.9
38,la Barceloneta,3.4
39,la Barceloneta,3.1
40,la Barceloneta,2.9
41,"Sant Pere, Santa Caterina i la Ribera",3.3
42,"Sant Pere, Santa Caterina i la Ribera",3.8
43,"Sant Pere, Santa Caterina i la Ribera",3.5
44,"Sant Pere, Santa Caterina i la Ribera",3.4
45,"Sant Pere, Santa Caterina i la Ribera",3.0
46,"Sant Pere, Santa Caterina i la Ribera",3.3
47,"Sant Pere, Santa Caterina i la Ribera",3.2
48,"Sant Pere, Santa Caterina i la Ribera",3.1
49,"Sant Pere, Santa Caterina i la Ribera",3.7
50,"Sant Pere, Santa Caterina i la Ribera",3.8
51,"Sant Pere, Santa Caterina i la Ribera",2.9
52,"Sant Pere, Santa Caterina i la Ribera",3.2
53,"Sant Pere, Santa Caterina i la Ribera",3.1
54,el Fort Pienc,3.1
55,el Fort Pienc,3.1
56,el Fort Pienc,2.9
57,el Fort Pienc,3.0
58,el Fort Pienc,2.6
59,el Fort Pienc,2.9
60,el Fort Pienc,2.9
61,el Fort Pienc,2.7
62,el Fort Pienc,3.1
63,el Fort Pienc,3.1
64,el Fort Pienc,2.6
65,el Fort Pienc,2.8
66,el Fort Pienc,3.2
67,el Fort Pienc,2.4
68,el Fort Pienc,3.1
69,el Fort Pienc,2.7
70,el Fort Pienc,2.9
71,el Fort Pienc,2.9
72,el Fort Pienc,2.9
73,el Fort Pienc,3.1
74,la Sagrada Família,2.8
75,la Sagrada Família,3.7
76,la Sagrada Família,2.5
77,la Sagrada Família,3.2
78,la Sagrada Família,2.8
79,la Sagrada Família,3.1
80,la Sagrada Família,3.2
81,la Sagrada Família,3.2
82,la Sagrada Família,2.7
83,la Sagrada Família,2.6
84,la Sagrada Família,2.6
85,la Sagrada Família,2.5
86,la Sagrada Família,2.6
87,la Sagrada Família,3.2
88,la Sagrada Família,2.6
89,la Sagrada Família,2.5
90,la Sagrada Família,2.5
91,la Sagrada Família,2.8
92,la Sagrada Família,2.8
93,la Sagrada Família,2.8
94,la Sagrada Família,3.1
95,la Sagrada Família,2.6
96,la Sagrada Família,2.9
97,la Sagrada Família,3.3
98,la Sagrada Família,2.9
99,la Sagrada Família,3.2
100,la Sagrada Família,3.1
101,la Sagrada Família,3.6
102,la Sagrada Família,3.7
103,la Sagrada Família,2.7
104,la Sagrada Família,3.3
105,la Sagrada Família,3.3
106,la Sagrada Família,3.2
107,la Sagrada Família,2.9
108,la Dreta de l'Eixample,2.9
109,la Dreta de l'Eixample,2.8
110,la Dreta de l'Eixample,3.0
111,la Dreta de l'Eixample,2.7
112,la Dreta de l'Eixample,3.6
113,la Dreta de l'Eixample,2.8
114,la Dreta de l'Eixample,3.1
115,la Dreta de l'Eixample,3.3
116,la Dreta de l'Eixample,3.7
117,la Dreta de l'Eixample,2.6
118,la Dreta de l'Eixample,3.3
119,la Dreta de l'Eixample,2.6
120,la Dreta de l'Eixample,3.1
121,la Dreta de l'Eixample,3.1
122,la Dreta de l'Eixample,3.4
123,la Dreta de l'Eixample,3.3
124,la Dreta de l'Eixample,2.9
125,la Dreta de l'Eixample,3.5
126,la Dreta de l'Eixample,3.3
127,la Dreta de l'Eixample,3.5
128,la Dreta de l'Eixample,3.1
129,la Dreta de l'Eixample,3.3
130,la Dreta de l'Eixample,4.2
131,la Dreta de l'Eixample,3.8
132,la Dreta de l'Eixample,3.8
133,la Dreta de l'Eixample,3.6
134,la Dreta de l'Eixample,3.4
135,la Dreta de l'Eixample,3.1
136,la Dreta de l'Eixample,3.5
137,l'Antiga Esquerra de l'Eixample,3.4
138,l'Antiga Esquerra de l'Eixample,3.1
139,l'Antiga Esquerra de l'Eixample,3.1
140,l'Antiga Esquerra de l'Eixample,3.5
141,l'Antiga Esquerra de l'Eixample,3.2
142,l'Antiga Esquerra de l'Eixample,3.1
143,l'Antiga Esquerra de l'Eixample,3.7
144,l'Antiga Esquerra de l'Eixample,3.5
145,l'Antiga Esquerra de l'Eixample,3.4
146,l'Antiga Esquerra de l'Eixample,3.4
147,l'Antiga Esquerra de l'Eixample,3.2
148,l'Antiga Esquerra de l'Eixample,3.2
149,l'Antiga Esquerra de l'Eixample,3.0
150,l'Antiga Esquerra de l'Eixample,2.9
151,l'Antiga Esquerra de l'Eixample,3.2
152,l'Antiga Esquerra de l'Eixample,3.8
153,l'Antiga Esquerra de l'Eixample,2.8
154,l'Antiga Esquerra de l'Eixample,3.0
155,l'Antiga Esquerra de l'Eixample,3.3
156,l'Antiga Esquerra de l'Eixample,3.0
157,l'Antiga Esquerra de l'Eixample,3.2
158,l'Antiga Esquerra de l'Eixample,3.1
159,l'Antiga Esquerra de l'Eixample,3.4
160,l'Antiga Esquerra de l'Eixample,3.0
161,l'Antiga Esquerra de l'Eixample,3.2
162,l'Antiga Esquerra de l'Eixample,3.2
163,la Nova Esquerra de l'Eixample,3.0
164,la Nova Esquerra de l'Eixample,3.2
165,la Nova Esquerra de l'Eixample,2.4
166,la Nova Esquerra de l'Eixample,3.1
167,la Nova Esquerra de l'Eixample,2.9
168,la Nova Esquerra de l'Eixample,3.1
169,la Nova Esquerra de l'Eixample,2.9
170,la Nova Esquerra de l'Eixample,3.0
171,la Nova Esquerra de l'Eixample,3.0
172,la Nova Esquerra de l'Eixample,2.4
173,la Nova Esquerra de l'Eixample,2.4
174,la Nova Esquerra de l'Eixample,3.1
175,la Nova Esquerra de l'Eixample,3.2
176,la Nova Esquerra de l'Eixample,2.9
177,la Nova Esquerra de l'Eixample,2.6
178,la Nova Esquerra de l'Eixample,2.6
179,la Nova Esquerra de l'Eixample,2.5
180,la Nova Esquerra de l'Eixample,3.2
181,la Nova Esquerra de l'Eixample,3.3
182,la Nova Esquerra de l'Eixample,3.0
183,la Nova Esquerra de l'Eixample,2.3
184,la Nova Esquerra de l'Eixample,3.0
185,la Nova Esquerra de l'Eixample,2.8
186,la Nova Esquerra de l'Eixample,2.1
187,la Nova Esquerra de l'Eixample,2.9
188,la Nova Esquerra de l'Eixample,3.0
189,la Nova Esquerra de l'Eixample,3.2
190,la Nova Esquerra de l'Eixample,2.9
191,la Nova Esquerra de l'Eixample,2.8
192,la Nova Esquerra de l'Eixample,3.0
193,la Nova Esquerra de l'Eixample,3.0
194,la Nova Esquerra de l'Eixample,3.2
195,la Nova Esquerra de l'Eixample,3.3
196,la Nova Esquerra de l'Eixample,3.0
197,la Nova Esquerra de l'Eixample,2.9
198,la Nova Esquerra de l'Eixample,3.2
199,la Nova Esquerra de l'Eixample,3.2
200,la Nova Esquerra de l'Eixample,3.1
201,la Nova Esquerra de l'Eixample,3.1
202,la Nova Esquerra de l'Eixample,3.3
203,Sant Antoni,3.2
204,Sant Antoni,3.4
205,Sant Antoni,3.1
206,Sant Antoni,2.5
207,Sant Antoni,3.5
208,Sant Antoni,2.8
209,Sant Antoni,2.8
210,Sant Antoni,3.0
211,Sant Antoni,2.8
212,Sant Antoni,3.0
213,Sant Antoni,2.9
214,Sant Antoni,2.8
215,Sant Antoni,3.2
216,Sant Antoni,2.8
217,Sant Antoni,3.6
218,Sant Antoni,3.1
219,Sant Antoni,3.3
220,Sant Antoni,2.8
221,Sant Antoni,3.3
222,Sant Antoni,3.0
223,Sant Antoni,2.9
224,Sant Antoni,3.0
225,Sant Antoni,3.1
226,Sant Antoni,3.1
227,el Poble Sec,3.0
228,el Poble Sec,2.9
229,el Poble Sec,3.2
230,el Poble Sec,3.1
231,el Poble Sec,3.0
232,el Poble Sec,2.9
233,el Poble Sec,2.9
234,el Poble Sec,3.6
235,el Poble Sec,3.0
236,el Poble Sec,2.8
237,el Poble Sec,2.8
238,el Poble Sec,3.2
239,el Poble Sec,2.9
240,el Poble Sec,2.7
241,el Poble Sec,3.3
242,el Poble Sec,3.1
243,el Poble Sec,3.0
244,el Poble Sec,2.8
245,el Poble Sec,2.7
246,el Poble Sec,2.8
247,el Poble Sec,2.8
248,el Poble Sec,2.8
249,el Poble Sec,2.9
250,el Poble Sec,3.3
251,la Marina del Prat Vermell,2.8
252,la Marina de Port,2.1
253,la Marina de Port,2.4
254,la Marina de Port,3.3
255,la Marina de Port,2.3
256,la Marina de Port,2.3
257,la Marina de Port,2.1
258,la Marina de Port,2.7
259,la Marina de Port,2.4
260,la Marina de Port,2.4
261,la Marina de Port,2.5
262,la Marina de Port,2.7
263,la Marina de Port,2.4
264,la Marina de Port,2.8
265,la Marina de Port,2.7
266,la Font de la Guatlla,2.4
267,la Font de la Guatlla,2.9
268,la Font de la Guatlla,3.4
269,la Font de la Guatlla,2.8
270,la Font de la Guatlla,3.1
271,la Font de la Guatlla,2.7
272,la Font de la Guatlla,2.7
273,Hostafrancs,3.0
274,Hostafrancs,2.7
275,Hostafrancs,3.3
276,Hostafrancs,2.8
277,Hostafrancs,3.7
278,Hostafrancs,3.6
279,Hostafrancs,3.2
280,Hostafrancs,2.8
281,Hostafrancs,3.0
282,Hostafrancs,2.7
283,la Bordeta,2.6
284,la Bordeta,2.7
285,la Bordeta,2.6
286,la Bordeta,2.5
287,la Bordeta,2.4
288,la Bordeta,2.4
289,la Bordeta,2.8
290,la Bordeta,2.4
291,la Bordeta,2.6
292,la Bordeta,2.6
293,la Bordeta,2.7
294,la Bordeta,2.3
295,la Bordeta,2.6
296,Sants-Badal,2.4
297,Sants-Badal,2.8
298,Sants-Badal,2.8
299,Sants-Badal,2.7
300,Sants-Badal,2.6
301,Sants-Badal,3.0
302,Sants-Badal,2.5
303,Sants-Badal,2.7
304,Sants-Badal,3.2
305,Sants-Badal,2.9
306,Sants-Badal,2.9
307,Sants-Badal,3.0
308,Sants-Badal,2.9
309,Sants-Badal,2.8
310,Sants-Badal,2.6
311,Sants-Badal,2.8
312,Sants,2.6
313,Sants,2.9
314,Sants,2.6
315,Sants,2.4
316,Sants,2.7
317,Sants,3.2
318,Sants,3.1
319,Sants,3.0
320,Sants,2.7
321,Sants,2.9
322,Sants,3.2
323,Sants,2.9
324,Sants,3.1
325,Sants,2.8
326,Sants,3.0
327,Sants,2.7
328,Sants,3.2
329,Sants,2.7
330,Sants,2.9
331,Sants,2.5
332,Sants,3.4
333,Sants,3.1
334,Sants,2.9
335,Sants,2.7
336,Sants,2.8
337,Sants,2.6
338,Sants,2.9
339,Sants,3.1
340,Sants,3.0
341,la Marina de Port,2.7
342,la Marina de Port,2.5
343,la Marina de Port,2.5
344,les Corts,3.1
345,les Corts,2.8
346,les Corts,2.6
347,les Corts,2.6
348,les Corts,2.6
349,les Corts,2.7
350,les Corts,2.6
351,les Corts,3.1
352,les Corts,2.8
353,les Corts,2.6
354,les Corts,2.6
355,les Corts,2.1
356,les Corts,2.6
357,les Corts,4.2
358,les Corts,2.5
359,les Corts,2.8
360,les Corts,2.7
361,les Corts,2.7
362,les Corts,3.2
363,les Corts,3.5
364,les Corts,3.2
365,les Corts,3.1
366,les Corts,3.2
367,les Corts,2.8
368,les Corts,3.0
369,les Corts,2.8
370,les Corts,3.0
371,les Corts,2.6
372,les Corts,2.7
373,les Corts,2.6
374,les Corts,2.8
375,les Corts,2.4
376,les Corts,2.5
377,les Corts,2.2
378,les Corts,2.6
379,la Maternitat i Sant Ramon,2.8
380,la Maternitat i Sant Ramon,2.8
381,la Maternitat i Sant Ramon,2.6
382,la Maternitat i Sant Ramon,2.9
383,la Maternitat i Sant Ramon,2.9
384,la Maternitat i Sant Ramon,2.8
385,la Maternitat i Sant Ramon,2.7
386,la Maternitat i Sant Ramon,2.5
387,la Maternitat i Sant Ramon,2.6
388,la Maternitat i Sant Ramon,2.5
389,la Maternitat i Sant Ramon,2.4
390,la Maternitat i Sant Ramon,2.7
391,la Maternitat i Sant Ramon,2.5
392,la Maternitat i Sant Ramon,2.9
393,Pedralbes,3.4
394,Pedralbes,3.0
395,Pedralbes,3.3
396,Pedralbes,3.3
397,Pedralbes,3.6
398,Pedralbes,4.2
399,Pedralbes,4.2
400,la Maternitat i Sant Ramon,2.7
401,"Vallvidrera, el Tibidabo i les Planes",2.9
402,"Vallvidrera, el Tibidabo i les Planes",3.0
403,"Vallvidrera, el Tibidabo i les Planes",3.0
404,Sarrià,4.2
405,Sarrià,3.6
406,Sarrià,4.2
407,Sarrià,3.2
408,Sarrià,3.2
409,Sarrià,3.0
410,Sarrià,2.9
411,Sarrià,2.9
412,Sarrià,2.8
413,Sarrià,3.2
414,Sarrià,3.1
415,Sarrià,3.0
416,Sarrià,3.3
417,Sarrià,3.1
418,Sarrià,2.6
419,Sarrià,2.9
420,les Tres Torres,3.2
421,les Tres Torres,3.9
422,les Tres Torres,3.4
423,les Tres Torres,2.8
424,les Tres Torres,3.4
425,les Tres Torres,3.3
426,les Tres Torres,3.4
427,les Tres Torres,3.7
428,les Tres Torres,2.7
429,les Tres Torres,3.2
430,les Tres Torres,3.1
431,Sant Gervasi- la Bonanova,4.0
432,Sant Gervasi- la Bonanova,4.2
433,Sant Gervasi- la Bonanova,3.0
434,Sant Gervasi- la Bonanova,3.1
435,Sant Gervasi- la Bonanova,3.4
436,Sant Gervasi- la Bonanova,2.9
437,Sant Gervasi- la Bonanova,3.3
438,Sant Gervasi- la Bonanova,3.6
439,Sant Gervasi- la Bonanova,2.9
440,Sant Gervasi- la Bonanova,3.2
441,Sant Gervasi- la Bonanova,3.2
442,Sant Gervasi- la Bonanova,3.0
443,Sant Gervasi- la Bonanova,3.2
444,Sant Gervasi- la Bonanova,3.3
445,Sant Gervasi- la Bonanova,2.9
446,Sant Gervasi- la Bonanova,3.5
447,Sant Gervasi- la Bonanova,3.1
448,Sant Gervasi- la Bonanova,3.2
449,Sant Gervasi- Galvany,4.1
450,Sant Gervasi- Galvany,3.0
451,Sant Gervasi- Galvany,3.2
452,Sant Gervasi- Galvany,3.9
453,Sant Gervasi- Galvany,4.2
454,Sant Gervasi- Galvany,4.2
455,Sant Gervasi- Galvany,4.2
456,Sant Gervasi- Galvany,4.1
457,Sant Gervasi- Galvany,3.4
458,Sant Gervasi- Galvany,3.9
459,Sant Gervasi- Galvany,3.0
460,Sant Gervasi- Galvany,3.7
461,Sant Gervasi- Galvany,3.1
462,Sant Gervasi- Galvany,3.8
463,Sant Gervasi- Galvany,2.9
464,Sant Gervasi- Galvany,3.4
465,Sant Gervasi- Galvany,3.2
466,Sant Gervasi- Galvany,3.2
467,Sant Gervasi- Galvany,3.6
468,Sant Gervasi- Galvany,3.2
469,Sant Gervasi- Galvany,3.3
470,Sant Gervasi- Galvany,3.5
471,Sant Gervasi- Galvany,3.6
472,Sant Gervasi- Galvany,3.2
473,Sant Gervasi- Galvany,3.3
474,Sant Gervasi- Galvany,2.8
475,Sant Gervasi- Galvany,2.9
476,Sant Gervasi- Galvany,2.9
477,Sant Gervasi- Galvany,3.1
478,Sant Gervasi- Galvany,2.9
479,Sant Gervasi- Galvany,2.7
480,el Putxet i el Farró,3.3
481,el Putxet i el Farró,3.0
482,el Putxet i el Farró,2.8
483,el Putxet i el Farró,2.9
484,el Putxet i el Farró,3.1
485,el Putxet i el Farró,3.1
486,el Putxet i el Farró,3.0
487,el Putxet i el Farró,2.9
488,el Putxet i el Farró,2.5
489,el Putxet i el Farró,3.0
490,el Putxet i el Farró,3.3
491,el Putxet i el Farró,2.7
492,el Putxet i el Farró,2.8
493,el Putxet i el Farró,2.8
494,el Putxet i el Farró,3.0
495,el Putxet i el Farró,3.2
496,el Putxet i el Farró,2.6
497,el Putxet i el Farró,3.0
498,el Putxet i el Farró,3.0
499,Vallcarca i els Penitents,3.2
500,Vallcarca i els Penitents,3.0
501,Vallcarca i els Penitents,2.8
502,Vallcarca i els Penitents,3.0
503,Vallcarca i els Penitents,2.9
504,Vallcarca i els Penitents,3.0
505,Vallcarca i els Penitents,3.0
506,Vallcarca i els Penitents,3.8
507,Vallcarca i els Penitents,2.9
508,Vallcarca i els Penitents,3.1
509,Vallcarca i els Penitents,2.8
510,el Coll,2.9
511,el Coll,2.7
512,el Coll,2.9
513,el Coll,2.9
514,el Coll,2.7
515,la Salut,2.8
516,la Salut,2.7
517,la Salut,2.9
518,la Salut,2.8
519,la Salut,3.2
520,la Salut,2.3
521,la Salut,2.5
522,la Salut,2.5
523,la Salut,2.7
524,la Salut,2.8
